,Res
2013-10-31,106.26296512113606
2013-11-01,106.28997551367945
2013-11-04,106.29021371882928
2013-11-05,106.2806211696129
2013-11-06,106.27998199199465
2013-11-07,106.54469057591191
2013-11-08,106.54343437479534
2013-11-11,106.61826922546686
2013-11-12,106.63941422278998
2013-11-13,106.64109117412052
2013-11-14,106.62632811946517
2013-11-15,106.6406951976927
2013-11-18,106.63194521240216
2013-11-19,106.64783412252172
2013-11-20,106.65597065432894
2013-11-21,106.60589016493378
2013-11-22,106.66970700484549
2013-11-25,106.69326326287371
2013-11-26,106.66130142592725
2013-11-27,106.62284856499052
2013-11-28,106.6508723316844
2013-11-29,106.63303347887091
2013-12-02,106.59612025795981
2013-12-03,106.59430598444922
2013-12-04,106.63012548748635
2013-12-05,106.63618293105229
2013-12-06,106.66247719117906
2013-12-09,106.70568554836424
2013-12-10,106.73217390703232
2013-12-11,106.73083069498297
2013-12-12,106.77181829521683
2013-12-13,106.79839069949612
2013-12-16,106.81549879903008
2013-12-17,106.78584826082978
2013-12-18,106.74090520803594
2013-12-19,106.73172789255133
2013-12-20,106.72547907653828
2013-12-23,106.72061713636653
2013-12-24,106.67319936231877
2013-12-25,106.67926772358177
2013-12-26,106.66625530370345
2013-12-27,106.66106349925136
2013-12-30,106.68280714640292
2013-12-31,106.72930534115498
2014-01-01,106.73489929889413
2014-01-02,106.75736558811377
2014-01-03,106.77905283608793
2014-01-06,106.78597898492878
2014-01-07,106.81276022397192
2014-01-08,106.79837318649244
2014-01-09,106.78282376897236
2014-01-10,106.81195556042262
2014-01-13,106.83402624227179
2014-01-14,106.85171821576957
2014-01-15,106.87847412216219
2014-01-16,106.90920916463092
2014-01-17,106.90403131913492
2014-01-20,106.9283824871743
2014-01-21,106.93808820117764
2014-01-22,106.88011125652412
2014-01-23,106.87679399636421
2014-01-24,106.85551817298494
2014-01-27,106.86149439586565
2014-01-28,106.83232943527098
2014-01-29,106.85885874446211
2014-01-30,106.88877611484584
2014-01-31,106.86585353645081
2014-02-03,106.88229729504464
2014-02-04,106.87808445666697
2014-02-05,106.86865977263335
2014-02-06,106.88039627785001
2014-02-07,106.85766072377724
2014-02-10,106.8043632632438
2014-02-11,106.84237471072697
2014-02-12,106.879844662689
2014-02-13,106.92132177678737
2014-02-14,107.0363622678912
2014-02-17,107.12430507368956
2014-02-18,107.08708117533831
2014-02-19,107.0157214669705
2014-02-20,107.06972415214256
2014-02-21,107.19819083097974
2014-02-24,107.26857704183672
2014-02-25,107.36729161119098
2014-02-26,107.2916603911188
2014-02-27,107.40315722207092
2014-02-28,107.41797443604464
2014-03-03,107.37201684216042
2014-03-04,107.41855347940344
2014-03-05,107.38198817660611
2014-03-06,107.33163443021746
2014-03-07,107.29028317975084
2014-03-10,107.28855580668609
2014-03-11,107.27411688029872
2014-03-12,107.25188265026226
2014-03-13,107.29337173842994
2014-03-14,107.32303333734102
2014-03-17,107.3310840771741
2014-03-18,107.35361131568725
2014-03-19,107.39992781166946
2014-03-20,107.34194439608993
2014-03-21,107.36243166557136
2014-03-24,107.34989580691344
2014-03-25,107.38078546060504
2014-03-26,107.49941642249526
2014-03-27,107.57310417461673
2014-03-28,107.56233823858358
2014-03-31,107.68504448435525
2014-04-01,107.6859312119825
2014-04-02,107.62866114633533
2014-04-03,107.53065399973075
2014-04-04,107.70727709411935
2014-04-07,107.800943924583
2014-04-08,107.97031570255358
2014-04-09,107.92000349398191
2014-04-10,108.04322480978476
2014-04-11,107.96521152857827
2014-04-14,108.03938298460297
2014-04-15,107.8851358670974
2014-04-16,107.91115510882628
2014-04-17,107.9331165346111
2014-04-18,107.924136659661
2014-04-21,107.90528730976813
2014-04-22,107.91005726600646
2014-04-23,107.85900108436866
2014-04-24,107.78841954480757
2014-04-25,107.74713542878439
2014-04-28,107.73180363254049
2014-04-29,107.70501929415884
2014-04-30,107.7053499267994
2014-05-01,107.71061775374177
2014-05-02,107.710399816779
2014-05-05,107.65426015303493
2014-05-06,107.76804158392501
2014-05-07,107.85933200003448
2014-05-08,107.87611493711083
2014-05-09,107.90087989783142
2014-05-12,107.8735644348236
2014-05-13,107.92793707883442
2014-05-14,107.95332815331004
2014-05-15,107.86110269641756
2014-05-16,107.86339683949208
2014-05-19,107.93605262684633
2014-05-20,107.8730126964693
2014-05-21,107.89572607615995
2014-05-22,107.8954798950268
2014-05-23,107.88058467316966
2014-05-26,107.85155343837486
