,Return_Incl_Costs_ARSUSD Curncy
2008-12-22,169.82331944760648
2008-12-23,169.82434755438064
2008-12-24,170.1117462354137
2008-12-25,170.026690362296
2008-12-26,170.026690362296
2008-12-29,170.026690362296
2008-12-30,170.026690362296
2008-12-31,170.026690362296
2009-01-01,170.026690362296
2009-01-02,170.026690362296
2009-01-05,170.026690362296
2009-01-06,170.026690362296
2009-01-07,170.026690362296
2009-01-08,170.026690362296
2009-01-09,170.026690362296
2009-01-12,170.026690362296
2009-01-13,170.026690362296
2009-01-14,170.026690362296
2009-01-15,170.026690362296
2009-01-16,170.026690362296
2009-01-19,170.026690362296
2009-01-20,170.026690362296
2009-01-21,170.026690362296
2009-01-22,170.026690362296
2009-01-23,170.026690362296
2009-01-26,170.026690362296
2009-01-27,170.026690362296
2009-01-28,170.026690362296
2009-01-29,170.026690362296
2009-01-30,170.026690362296
2009-02-02,170.026690362296
2009-02-03,170.026690362296
2009-02-04,170.026690362296
2009-02-05,170.026690362296
2009-02-06,170.026690362296
2009-02-09,170.026690362296
2009-02-10,170.026690362296
2009-02-11,170.026690362296
2009-02-12,170.026690362296
2009-02-13,170.026690362296
2009-02-16,170.026690362296
2009-02-17,170.026690362296
2009-02-18,170.026690362296
2009-02-19,170.026690362296
2009-02-20,170.026690362296
2009-02-23,170.026690362296
2009-02-24,170.026690362296
2009-02-25,170.026690362296
2009-02-26,170.026690362296
2009-02-27,170.026690362296
2009-03-02,170.026690362296
2009-03-03,170.026690362296
2009-03-04,170.026690362296
2009-03-05,170.026690362296
2009-03-06,170.026690362296
2009-03-09,170.026690362296
2009-03-10,170.026690362296
2009-03-11,170.026690362296
2009-03-12,170.026690362296
2009-03-13,170.026690362296
2009-03-16,170.026690362296
2009-03-17,170.026690362296
2009-03-18,170.026690362296
2009-03-19,170.026690362296
2009-03-20,170.026690362296
2009-03-23,170.026690362296
2009-03-24,170.026690362296
2009-03-25,170.026690362296
2009-03-26,170.026690362296
2009-03-27,170.026690362296
2009-03-30,170.026690362296
2009-03-31,170.026690362296
2009-04-01,170.026690362296
2009-04-02,170.026690362296
2009-04-03,170.026690362296
2009-04-06,170.026690362296
2009-04-07,170.026690362296
2009-04-08,170.026690362296
2009-04-09,170.3001826477592
2009-04-10,170.43506348736688
2009-04-13,170.2085317816834
2009-04-14,170.4656691458611
2009-04-15,170.69498318413503
2009-04-16,170.86312743277108
2009-04-17,170.692616125065
2009-04-20,170.55457920669792
2009-04-21,170.48826002540048
2009-04-22,170.52650671668061
2009-04-23,170.66778276851105
2009-04-24,170.5824488771268
2009-04-27,170.5824488771268
2009-04-28,170.5824488771268
2009-04-29,170.5824488771268
2009-04-30,170.5824488771268
2009-05-01,170.5824488771268
2009-05-04,170.5824488771268
2009-05-05,170.5824488771268
2009-05-06,170.5824488771268
2009-05-07,170.5824488771268
2009-05-08,170.5824488771268
2009-05-11,170.5824488771268
2009-05-12,170.5824488771268
2009-05-13,170.5824488771268
2009-05-14,170.5824488771268
2009-05-15,170.5824488771268
2009-05-18,170.5824488771268
2009-05-19,170.5824488771268
2009-05-20,170.5824488771268
2009-05-21,170.5824488771268
2009-05-22,170.5824488771268
2009-05-25,170.5824488771268
2009-05-26,170.5824488771268
2009-05-27,170.5824488771268
2009-05-28,170.5824488771268
2009-05-29,170.5824488771268
2009-06-01,170.5824488771268
2009-06-02,170.5824488771268
2009-06-03,170.5824488771268
2009-06-04,170.5824488771268
2009-06-05,170.5824488771268
2009-06-08,170.5824488771268
2009-06-09,170.5824488771268
2009-06-10,170.5824488771268
2009-06-11,170.5824488771268
2009-06-12,170.5824488771268
2009-06-15,170.5824488771268
2009-06-16,170.5824488771268
2009-06-17,170.5824488771268
2009-06-18,170.5824488771268
2009-06-19,170.5824488771268
2009-06-22,170.5824488771268
2009-06-23,170.5824488771268
2009-06-24,170.5824488771268
2009-06-25,170.5824488771268
2009-06-26,170.5824488771268
2009-06-29,170.5824488771268
2009-06-30,170.5824488771268
2009-07-01,170.5824488771268
2009-07-02,170.5824488771268
2009-07-03,170.5824488771268
2009-07-06,170.5824488771268
2009-07-07,170.5824488771268
2009-07-08,170.5824488771268
2009-07-09,170.5824488771268
2009-07-10,170.5824488771268
2009-07-13,170.5824488771268
2009-07-14,170.5824488771268
2009-07-15,170.5824488771268
2009-07-16,170.5824488771268
2009-07-17,170.5824488771268
2009-07-20,170.5824488771268
2009-07-21,170.5824488771268
2009-07-22,170.5824488771268
2009-07-23,170.5824488771268
2009-07-24,170.5824488771268
2009-07-27,170.5824488771268
2009-07-28,170.46130574782154
2009-07-29,170.37607509494765
2009-07-30,170.37607509494765
2009-07-31,170.37607509494765
2009-08-03,170.37607509494765
2009-08-04,170.37607509494765
2009-08-05,170.37607509494765
2009-08-06,170.37607509494765
2009-08-07,170.37607509494765
2009-08-10,170.37607509494765
2009-08-11,170.37607509494765
2009-08-12,170.37607509494765
2009-08-13,170.37607509494765
2009-08-14,170.37607509494765
2009-08-17,170.37607509494765
2009-08-18,170.37607509494765
2009-08-19,170.37607509494765
2009-08-20,170.37607509494765
2009-08-21,170.37607509494765
2009-08-24,170.37607509494765
2009-08-25,170.37607509494765
2009-08-26,170.37607509494765
2009-08-27,170.37607509494765
2009-08-28,170.37607509494765
2009-08-31,170.37607509494765
2009-09-01,170.37607509494765
2009-09-02,170.37607509494765
2009-09-03,170.37607509494765
2009-09-04,170.37607509494765
2009-09-07,170.10818513025666
2009-09-08,170.39129729084112
2009-09-09,170.0076950794598
2009-09-10,170.5259092611896
2009-09-11,170.44064630655902
2009-09-14,170.44064630655902
2009-09-15,170.44064630655902
2009-09-16,170.31997061950116
2009-09-17,170.15155764095488
2009-09-18,170.0372378347943
2009-09-21,170.10252952055575
2009-09-22,170.30354877126436
2009-09-23,170.5689891519244
2009-09-24,170.21178427472967
2009-09-25,170.28332813403674
2009-09-28,170.1660405239774
2009-09-29,170.64231369357037
2009-09-30,170.47306972993198
2009-10-01,170.38783319506703
2009-10-02,170.38783319506703
2009-10-05,170.38783319506703
2009-10-06,170.38783319506703
2009-10-07,170.38783319506703
2009-10-08,170.38783319506703
2009-10-09,170.46737957264367
2009-10-12,170.52193897761452
2009-10-13,170.85318969806283
2009-10-14,170.96769757684504
2009-10-15,170.93331767782178
2009-10-16,171.18542382523407
2009-10-19,171.1213843794572
2009-10-20,171.23538088674417
2009-10-21,171.28903555753078
2009-10-22,171.29898763356366
2009-10-23,171.36825880310548
2009-10-26,171.28616400990072
2009-10-27,171.43166886857998
2009-10-28,171.56328802433558
2009-10-29,171.5100660525073
2009-10-30,171.6947498350165
2009-11-02,171.4795804441064
2009-11-03,171.95098629066365
2009-11-04,171.97521743230917
2009-11-05,172.00180875008863
2009-11-06,172.04228577079175
2009-11-09,172.10199822698974
2009-11-10,172.10176220937632
2009-11-11,172.21906296325082
2009-11-12,172.2834170991789
2009-11-13,172.58721110393193
2009-11-16,172.33246942650385
2009-11-17,172.45417584249597
2009-11-18,172.46892694333542
2009-11-19,173.06786097368186
2009-11-20,173.1801660214057
2009-11-23,173.44788866757327
2009-11-24,173.26053001877895
2009-11-25,173.2391310884951
2009-11-26,173.48950644007493
2009-11-27,173.12710139465312
2009-11-30,172.992374673654
2009-12-01,173.10680387989842
2009-12-02,173.1306023225856
2009-12-03,173.04403702142432
2009-12-04,173.04403702142432
2009-12-07,173.04403702142432
2009-12-08,173.04403702142432
2009-12-09,173.04403702142432
2009-12-10,173.11981310284023
2009-12-11,173.1854213072488
2009-12-14,173.1395816847176
2009-12-15,172.80249800443227
2009-12-16,172.98879242255794
2009-12-17,172.90229802634667
2009-12-18,172.90229802634667
2009-12-21,172.90229802634667
2009-12-22,172.90229802634667
2009-12-23,172.90229802634667
2009-12-24,173.16588408597474
2009-12-25,173.2511804199791
2009-12-28,172.87656761760832
2009-12-29,171.75455393862416
2009-12-30,172.82924115827652
2009-12-31,173.01008336300723
2010-01-01,173.09534087300884
2010-01-04,173.00879320257235
2010-01-05,172.89392854900933
2010-01-06,172.36473080332667
2010-01-07,173.16606303657554
2010-01-08,173.53416522427028
2010-01-11,173.3232454989979
2010-01-12,173.58921976681467
2010-01-13,173.47047087666738
2010-01-14,173.536412348455
2010-01-15,173.58550038885156
2010-01-18,173.79514157794972
2010-01-19,173.67147226070705
2010-01-20,173.82714372583257
2010-01-21,173.74023015396966
2010-01-22,173.74023015396966
2010-01-25,173.74023015396966
2010-01-26,173.74023015396966
2010-01-27,173.74023015396966
2010-01-28,173.74023015396966
2010-01-29,173.74023015396966
2010-02-01,173.74023015396966
2010-02-02,173.74023015396966
2010-02-03,173.74023015396966
2010-02-04,173.74023015396966
2010-02-05,173.74023015396966
2010-02-08,173.74023015396966
2010-02-09,173.74023015396966
2010-02-10,173.74023015396966
2010-02-11,173.74023015396966
2010-02-12,173.74023015396966
2010-02-15,173.74023015396966
2010-02-16,173.74023015396966
2010-02-17,173.74023015396966
2010-02-18,173.74023015396966
2010-02-19,173.74023015396966
2010-02-22,173.74023015396966
2010-02-23,173.74023015396966
2010-02-24,173.74023015396966
2010-02-25,173.74023015396966
2010-02-26,173.74023015396966
2010-03-01,173.74023015396966
2010-03-02,173.74023015396966
2010-03-03,173.74023015396966
2010-03-04,173.6440297517739
2010-03-05,173.63672102686473
2010-03-08,173.79362535523978
2010-03-09,173.60624208894401
2010-03-10,173.51943896789956
2010-03-11,173.51943896789956
2010-03-12,173.51943896789956
2010-03-15,173.51943896789956
