,Return_Ex_Costs_ARSUSD Curncy
2009-03-13,192.864320166301
2009-03-16,192.864320166301
2009-03-17,192.864320166301
2009-03-18,192.864320166301
2009-03-19,192.864320166301
2009-03-20,192.864320166301
2009-03-23,192.864320166301
2009-03-24,192.864320166301
2009-03-25,192.864320166301
2009-03-26,192.864320166301
2009-03-27,192.864320166301
2009-03-30,192.864320166301
2009-03-31,192.864320166301
2009-04-01,192.864320166301
2009-04-02,192.864320166301
2009-04-03,192.864320166301
2009-04-06,192.864320166301
2009-04-07,192.864320166301
2009-04-08,192.864320166301
2009-04-09,193.271182955604
2009-04-10,193.424257244919
2009-04-13,193.167169730075
2009-04-14,193.458991158473
2009-04-15,193.719236301822
2009-04-16,193.910060746845
2009-04-17,193.716549961153
2009-04-20,193.55989388428
2009-04-21,193.484629216781
2009-04-22,193.528034826528
2009-04-23,193.688366948526
2009-04-24,193.688366948526
2009-04-27,193.688366948526
2009-04-28,193.688366948526
2009-04-29,193.688366948526
2009-04-30,193.688366948526
2009-05-01,193.688366948526
2009-05-04,193.688366948526
2009-05-05,193.688366948526
2009-05-06,193.688366948526
2009-05-07,193.688366948526
2009-05-08,193.688366948526
2009-05-11,193.688366948526
2009-05-12,193.688366948526
2009-05-13,193.688366948526
2009-05-14,193.688366948526
2009-05-15,193.688366948526
2009-05-18,193.688366948526
2009-05-19,193.688366948526
2009-05-20,193.688366948526
2009-05-21,193.688366948526
2009-05-22,193.688366948526
2009-05-25,193.688366948526
2009-05-26,193.688366948526
2009-05-27,193.688366948526
2009-05-28,193.688366948526
2009-05-29,193.688366948526
2009-06-01,193.688366948526
2009-06-02,193.688366948526
2009-06-03,193.688366948526
2009-06-04,193.688366948526
2009-06-05,193.688366948526
2009-06-08,193.688366948526
2009-06-09,193.688366948526
2009-06-10,193.688366948526
2009-06-11,193.688366948526
2009-06-12,193.688366948526
2009-06-15,193.688366948526
2009-06-16,193.688366948526
2009-06-17,193.688366948526
2009-06-18,193.688366948526
2009-06-19,193.688366948526
2009-06-22,193.688366948526
2009-06-23,193.688366948526
2009-06-24,193.688366948526
2009-06-25,193.688366948526
2009-06-26,193.688366948526
2009-06-29,193.688366948526
2009-06-30,193.688366948526
2009-07-01,193.688366948526
2009-07-02,193.688366948526
2009-07-03,193.688366948526
2009-07-06,193.688366948526
2009-07-07,193.688366948526
2009-07-08,193.688366948526
2009-07-09,193.688366948526
2009-07-10,193.688366948526
2009-07-13,193.688366948526
2009-07-14,193.688366948526
2009-07-15,193.688366948526
2009-07-16,193.688366948526
2009-07-17,193.688366948526
2009-07-20,193.688366948526
2009-07-21,193.688366948526
2009-07-22,193.688366948526
2009-07-23,193.688366948526
2009-07-24,193.688366948526
2009-07-27,193.688366948526
2009-07-28,193.647638428466
2009-07-29,193.647638428466
2009-07-30,193.647638428466
2009-07-31,193.647638428466
2009-08-03,193.647638428466
2009-08-04,193.647638428466
2009-08-05,193.647638428466
2009-08-06,193.647638428466
2009-08-07,193.647638428466
2009-08-10,193.647638428466
2009-08-11,193.647638428466
2009-08-12,193.647638428466
2009-08-13,193.647638428466
2009-08-14,193.647638428466
2009-08-17,193.647638428466
2009-08-18,193.647638428466
2009-08-19,193.647638428466
2009-08-20,193.647638428466
2009-08-21,193.647638428466
2009-08-24,193.647638428466
2009-08-25,193.647638428466
2009-08-26,193.647638428466
2009-08-27,193.647638428466
2009-08-28,193.647638428466
2009-08-31,193.647638428466
2009-09-01,193.647638428466
2009-09-02,193.647638428466
2009-09-03,193.647638428466
2009-09-04,193.647638428466
2009-09-07,193.439877476961
2009-09-08,193.761820725099
2009-09-09,193.325604415386
2009-09-10,193.914895799242
2009-09-11,193.914895799242
2009-09-14,193.914895799242
2009-09-15,193.914895799242
2009-09-16,193.8745371012
2009-09-17,193.682833285501
2009-09-18,193.55270351023
2009-09-21,193.627024773365
2009-09-22,193.855844177442
2009-09-23,194.157993894479
2009-09-24,193.751389020344
2009-09-25,193.832827107464
2009-09-28,193.699319092959
2009-09-29,194.241458925139
2009-09-30,194.048809202454
2009-10-01,194.048809202454
2009-10-02,194.048809202454
2009-10-05,194.048809202454
2009-10-06,194.048809202454
2009-10-07,194.048809202454
2009-10-08,194.048809202454
2009-10-09,194.236520080263
2009-10-12,194.298686982727
2009-10-13,194.676125689037
2009-10-14,194.806599988297
2009-10-15,194.76742632373
2009-10-16,195.05468492351
2009-10-19,194.981716129558
2009-10-20,195.111607754174
2009-10-21,195.172743770729
2009-10-22,195.184083515735
2009-10-23,195.263013519513
2009-10-26,195.169471828494
2009-10-27,195.335265175441
2009-10-28,195.485236664731
2009-10-29,195.424593680568
2009-10-30,195.635028869516
2009-11-02,195.389857307526
2009-11-03,195.926993687579
2009-11-04,195.954603501507
2009-11-05,195.984902583025
2009-11-06,196.0310235222
2009-11-09,196.099061992237
2009-11-10,196.098793065478
2009-11-11,196.23244966472
2009-11-12,196.305777027684
2009-11-13,196.651930587693
2009-11-16,196.361668972438
2009-11-17,196.500345537849
2009-11-18,196.517153460289
2009-11-19,197.199599932475
2009-11-20,197.327564248651
2009-11-23,197.632616835654
2009-11-24,197.419133810104
2009-11-25,197.394751117285
2009-11-26,197.680037587498
2009-11-27,197.267100548994
2009-11-30,197.11358819071
2009-12-01,197.243972847717
2009-12-02,197.271089629253
2009-12-03,197.271089629253
2009-12-04,197.271089629253
2009-12-07,197.271089629253
2009-12-08,197.271089629253
2009-12-09,197.271089629253
2009-12-10,197.456202852097
2009-12-11,197.531033957135
2009-12-14,197.478750410596
2009-12-15,197.094281051719
2009-12-16,197.306763885176
2009-12-17,197.306763885176
2009-12-18,197.306763885176
2009-12-21,197.306763885176
2009-12-22,197.306763885176
2009-12-23,197.306763885176
2009-12-24,197.706407263514
2009-12-25,197.803791525072
2009-12-28,197.376089777337
2009-12-29,196.095067856978
2009-12-30,197.322056361388
2009-12-31,197.528526953258
2010-01-01,197.625866888798
2010-01-04,197.625866888798
2010-01-05,197.593455101943
2010-01-06,196.988656472638
2010-01-07,197.904466564878
2010-01-08,198.325155618031
2010-01-11,198.084104022897
2010-01-12,198.388075220655
2010-01-13,198.252361932799
2010-01-14,198.327723765076
2010-01-15,198.383824494509
2010-01-18,198.623414902531
2010-01-19,198.482078258213
2010-01-20,198.659988858736
2010-01-21,198.659988858736
2010-01-22,198.659988858736
2010-01-25,198.659988858736
2010-01-26,198.659988858736
2010-01-27,198.659988858736
2010-01-28,198.659988858736
2010-01-29,198.659988858736
2010-02-01,198.659988858736
2010-02-02,198.659988858736
2010-02-03,198.659988858736
2010-02-04,198.659988858736
2010-02-05,198.659988858736
2010-02-08,198.659988858736
2010-02-09,198.659988858736
2010-02-10,198.659988858736
2010-02-11,198.659988858736
2010-02-12,198.659988858736
2010-02-15,198.659988858736
2010-02-16,198.659988858736
2010-02-17,198.659988858736
2010-02-18,198.659988858736
2010-02-19,198.659988858736
2010-02-22,198.659988858736
2010-02-23,198.659988858736
2010-02-24,198.659988858736
2010-02-25,198.659988858736
2010-02-26,198.659988858736
2010-03-01,198.659988858736
2010-03-02,198.659988858736
2010-03-03,198.659988858736
2010-03-04,198.649314980991
2010-03-05,198.640953776758
2010-03-08,198.82045282083
2010-03-09,198.606085776125
2010-03-10,198.606085776125
2010-03-11,198.606085776125
2010-03-12,198.606085776125
2010-03-15,198.606085776125
2010-03-16,198.606085776125
2010-03-17,198.606085776125
2010-03-18,198.606085776125
2010-03-19,198.606085776125
2010-03-22,198.606085776125
2010-03-23,198.606085776125
2010-03-24,198.606085776125
2010-03-25,198.606085776125
2010-03-26,198.606085776125
2010-03-29,198.606085776125
2010-03-30,198.606085776125
2010-03-31,198.606085776125
2010-04-01,198.606085776125
2010-04-02,198.606085776125
2010-04-05,198.606085776125
2010-04-06,198.606085776125
2010-04-07,198.606085776125
2010-04-08,198.606085776125
2010-04-09,198.606085776125
2010-04-12,198.606085776125
2010-04-13,198.606085776125
2010-04-14,198.606085776125
2010-04-15,198.606085776125
2010-04-16,198.606085776125
2010-04-19,198.606085776125
2010-04-20,198.237055818789
2010-04-21,198.556071050931
2010-04-22,198.556071050931
2010-04-23,198.556071050931
2010-04-26,198.556071050931
2010-04-27,198.556071050931
2010-04-28,198.556071050931
2010-04-29,198.558198659191
2010-04-30,198.83699896952
2010-05-03,198.677639431921
2010-05-04,198.975157257593
2010-05-05,199.424002752055
2010-05-06,199.019634689662
2010-05-07,198.767902909421
2010-05-10,198.767902909421
2010-05-11,198.767902909421
2010-05-12,198.767902909421
2010-05-13,198.767902909421
2010-05-14,198.767902909421
2010-05-17,198.767902909421
2010-05-18,198.767902909421
2010-05-19,198.767902909421
2010-05-20,198.767902909421
2010-05-21,198.767902909421
2010-05-24,198.767902909421
2010-05-25,198.767902909421
2010-05-26,198.767902909421
2010-05-27,198.767902909421
2010-05-28,198.767902909421
2010-05-31,198.767902909421
2010-06-01,198.767902909421
2010-06-02,198.767902909421
2010-06-03,198.767902909421
2010-06-04,198.767902909421
2010-06-07,198.767902909421
2010-06-08,198.767902909421
2010-06-09,198.767902909421
2010-06-10,198.767902909421
2010-06-11,198.767902909421
2010-06-14,198.767902909421
2010-06-15,198.767902909421
2010-06-16,198.767902909421
2010-06-17,198.767902909421
2010-06-18,198.767902909421
2010-06-21,198.767902909421
2010-06-22,198.767902909421
2010-06-23,198.767902909421
2010-06-24,198.767902909421
2010-06-25,198.767902909421
2010-06-28,198.767902909421
2010-06-29,198.767902909421
2010-06-30,198.767902909421
2010-07-01,198.767902909421
2010-07-02,198.767902909421
2010-07-05,198.767902909421
2010-07-06,198.767902909421
2010-07-07,198.767902909421
2010-07-08,198.767902909421
2010-07-09,198.767902909421
2010-07-12,198.767902909421
2010-07-13,198.767902909421
2010-07-14,198.767902909421
2010-07-15,198.767902909421
2010-07-16,198.767902909421
2010-07-19,198.767902909421
2010-07-20,198.767902909421
2010-07-21,198.767902909421
2010-07-22,198.767902909421
2010-07-23,198.767902909421
2010-07-26,198.767902909421
2010-07-27,198.767902909421
2010-07-28,198.767902909421
2010-07-29,198.767902909421
2010-07-30,198.767902909421
2010-08-02,198.767902909421
2010-08-03,198.767902909421
2010-08-04,198.767902909421
2010-08-05,198.767902909421
2010-08-06,198.767902909421
2010-08-09,198.767902909421
2010-08-10,198.767902909421
2010-08-11,198.767902909421
2010-08-12,198.767902909421
2010-08-13,198.767902909421
2010-08-16,198.767902909421
2010-08-17,198.767902909421
2010-08-18,198.767902909421
2010-08-19,198.767902909421
2010-08-20,198.767902909421
2010-08-23,198.767902909421
2010-08-24,198.767902909421
2010-08-25,198.767902909421
2010-08-26,198.767902909421
2010-08-27,198.767902909421
2010-08-30,198.767902909421
2010-08-31,198.767902909421
2010-09-01,198.767902909421
2010-09-02,198.767902909421
2010-09-03,198.767902909421
2010-09-06,198.767902909421
2010-09-07,198.767902909421
2010-09-08,198.767902909421
2010-09-09,198.767902909421
2010-09-10,198.767902909421
2010-09-13,198.767902909421
2010-09-14,198.767902909421
2010-09-15,198.767902909421
2010-09-16,198.767902909421
2010-09-17,198.767902909421
2010-09-20,198.767902909421
2010-09-21,198.767902909421
2010-09-22,198.767902909421
2010-09-23,198.767902909421
2010-09-24,198.767902909421
2010-09-27,198.767902909421
2010-09-28,198.767902909421
2010-09-29,198.767902909421
2010-09-30,198.767902909421
2010-10-01,198.767902909421
