,Weighted_Performance
2014-08-07,0.015492142631279442
2014-08-08,-0.008476125290059682
2014-08-11,-0.011953539762714863
2014-08-12,-0.003346092292448786
2014-08-13,-0.0006101466566917127
2014-08-14,-0.018311372001632624
2014-08-15,0.007066469048618509
2014-08-18,-0.02038514185610005
2014-08-19,-0.014053915137814534
2014-08-20,-0.03651755713136181
2014-08-21,-0.025250097917606684
2014-08-22,0.0019479442149333364
2014-08-25,-0.026978682746911363
2014-08-26,0.025292190758337545
2014-08-27,0.0015359996383600342
2014-08-28,-0.0034596599159785997
2014-08-29,0.00046349003455788823
2014-09-01,-0.01105361045279339
2014-09-02,-0.0015949680289987218
2014-09-03,0.022182723495305062
2014-09-04,-0.02863111326165483
2014-09-05,0.015017580035261453
2014-09-08,-0.03712940274710681
2014-09-09,-0.058551218712483394
2014-09-10,-0.016794451200875103
2014-09-11,-0.014344066458921372
2014-09-12,0.011351353803226244
2014-09-15,-0.01704056517926356
2014-09-16,0.03905544562263501
2014-09-17,0.002538531501640009
2014-09-18,0.01737294720395744
2014-09-19,-7.274767987190727e-05
2014-09-22,0.0034193153113680186
2014-09-23,0.002272455349096075
2014-09-24,-0.0041359714911601685
2014-09-25,0.038448379496711316
2014-09-26,-0.012944679250901384
2014-09-29,0.0353722730917159
2014-09-30,0.002063829870720546
2014-10-01,0.0022603510094967904
2014-10-02,-0.0068448692323901
2014-10-03,-0.004255082113559358
2014-10-06,-0.00010462689179529454
2014-10-07,-0.007220894956836922
2014-10-08,0.010815174550604902
2014-10-09,-0.011989147158398985
2014-10-10,-0.04937177713276487
2014-10-13,0.06756031379779656
2014-10-14,-0.003333119113610557
2014-10-15,-0.07433792852518578
2014-10-16,-0.033442178183488214
2014-10-17,0.09102456831659163
2014-10-20,0.023269350374587376
2014-10-21,0.02663815568980723
2014-10-22,0.01242619151608567
2014-10-23,0.012244451233166993
2014-10-24,0.013804437398482812
2014-10-27,0.0049306599616083715
2014-10-28,0.06993572905590603
2014-10-29,0.06690637297772019
2014-10-30,-0.040636792867698876
2014-10-31,-0.08816967904088269
2014-11-03,-0.0681450156057194
2014-11-04,-0.0076730065006299945
2014-11-05,-0.026879407779513118
2014-11-06,-0.03916760725128121
2014-11-07,0.002683375953823885
2014-11-10,-0.05156164316129302
2014-11-11,0.007259427915498615
2014-11-12,-0.008085699143443112
2014-11-13,0.0014812430375852788
2014-11-14,0.017007725238806216
2014-11-17,-0.009315487733633589
2014-11-18,0.004010954333282069
2014-11-19,0.0027163463669141793
2014-11-20,0.046869217293865055
2014-11-21,0.0018030190332915664
2014-11-24,-0.041809405334562996
2014-11-25,0.010956668484991213
2014-11-26,-0.03884719158521652
2014-11-27,-0.053735368906859565
2014-11-28,-0.09216544770560534
2014-12-01,0.02917102393444918
2014-12-02,-0.0621460185157824
2014-12-03,-0.0012760151738927098
2014-12-04,-0.004939917247745233
2014-12-05,-0.015747379221280985
2014-12-08,0.0030267660941475085
2014-12-09,0.004789314304611237
2014-12-10,0.004098671445253815
2014-12-11,0.008741225591771994
2014-12-12,0.0015254595572911868
2014-12-15,-0.005114533046323173
2014-12-16,0.03102725625007869
2014-12-17,0.011772439618661212
2014-12-18,0.0020502190898473147
2014-12-19,0.014901469329914797
2014-12-22,-0.021819260581000376
2014-12-23,0.0264757848393359
2014-12-24,0.007402482095267595
2014-12-25,0.055445791349313794
2014-12-26,-0.04950798596150053
2014-12-29,-0.2599198058432957
