,Inflation_Differential_ARSUSD Curncy
2003-04-04,2.1286666666666667
2003-04-07,2.1286666666666667
2003-04-08,2.1286666666666667
2003-04-09,2.1286666666666667
2003-04-10,2.1286666666666667
2003-04-11,2.1286666666666667
2003-04-14,2.1286666666666667
2003-04-15,2.1286666666666667
2003-04-16,2.1286666666666667
2003-04-17,2.1286666666666667
2003-04-18,2.1286666666666667
2003-04-21,2.1286666666666667
2003-04-22,2.1286666666666667
2003-04-23,2.1286666666666667
2003-04-24,2.1286666666666667
2003-04-25,2.1286666666666667
2003-04-28,2.1286666666666667
2003-04-29,2.1286666666666667
2003-04-30,2.1286666666666667
2003-05-01,2.1286666666666667
2003-05-02,2.224083333333333
2003-05-05,2.224083333333333
2003-05-06,2.224083333333333
2003-05-07,2.224083333333333
2003-05-08,2.224083333333333
2003-05-09,2.224083333333333
2003-05-12,2.224083333333333
2003-05-13,2.224083333333333
2003-05-14,2.224083333333333
2003-05-15,2.224083333333333
2003-05-16,2.224083333333333
2003-05-19,2.224083333333333
2003-05-20,2.224083333333333
2003-05-21,2.224083333333333
2003-05-22,2.224083333333333
2003-05-23,2.224083333333333
2003-05-26,2.224083333333333
2003-05-27,2.224083333333333
2003-05-28,2.224083333333333
2003-05-29,2.224083333333333
2003-05-30,2.224083333333333
2003-06-02,2.224083333333333
2003-06-03,2.3194999999999992
2003-06-04,2.3194999999999992
2003-06-05,2.3194999999999992
2003-06-06,2.3194999999999992
2003-06-09,2.3194999999999992
2003-06-10,2.3194999999999992
2003-06-11,2.3194999999999992
2003-06-12,2.3194999999999992
2003-06-13,2.3194999999999992
2003-06-16,2.3194999999999992
2003-06-17,2.3194999999999992
2003-06-18,2.3194999999999992
2003-06-19,2.3194999999999992
2003-06-20,2.3194999999999992
2003-06-23,2.3194999999999992
2003-06-24,2.3194999999999992
2003-06-25,2.3194999999999992
2003-06-26,2.3194999999999992
2003-06-27,2.3194999999999992
2003-06-30,2.3194999999999992
2003-07-01,2.3194999999999992
2003-07-02,2.414916666666666
2003-07-03,2.414916666666666
2003-07-04,2.414916666666666
2003-07-07,2.414916666666666
2003-07-08,2.414916666666666
2003-07-09,2.414916666666666
2003-07-10,2.414916666666666
2003-07-11,2.414916666666666
2003-07-14,2.414916666666666
2003-07-15,2.414916666666666
2003-07-16,2.414916666666666
2003-07-17,2.414916666666666
2003-07-18,2.414916666666666
2003-07-21,2.414916666666666
