,Spot_Incl_Costs_BRLUSD Curncy,Spot_Incl_Costs_ARSUSD Curncy,Spot_Incl_Costs_MXNUSD Curncy,Spot_Incl_Costs_COPUSD Curncy,Spot_Incl_Costs_CLPUSD Curncy,Spot_Incl_Costs_PENUSD Curncy,Spot_Incl_Costs_TRYUSD Curncy,Spot_Incl_Costs_RUBUSD Curncy,Spot_Incl_Costs_ZARUSD Curncy,Spot_Incl_Costs_CNYUSD Curncy,Spot_Incl_Costs_KRWUSD Curncy,Spot_Incl_Costs_IDRUSD Curncy,Spot_Incl_Costs_INRUSD Curncy,Spot_Incl_Costs_PHPUSD Curncy,Spot_Incl_Costs_THBUSD Curncy,Spot_Incl_Costs_CZKEUR Curncy,Spot_Incl_Costs_HUFEUR Curncy,Spot_Incl_Costs_PLNEUR Curncy
2019-04-25,115.03314787492802,56.62572069159727,114.88660224521534,115.50353894696339,68.57084119624355,96.93140479360429,215.4408185311574,100.33834978354248,157.45854497753044,82.39458137816284,138.40449426384995,253.36958502784586,132.82636125169756,78.7343411723027,110.96941432366236,83.6694238183141,73.46604547210738,88.63178467779538
2019-04-26,115.03314787492802,56.59740783125148,114.82915894409274,115.50353894696339,68.35827574742443,96.93140479360429,215.4408185311574,100.20837782786433,157.45854497753044,82.39458137816284,138.195957125993,253.24290023533194,132.82636125169756,78.7343411723027,110.96941432366236,83.6694238183141,73.46604547210738,88.63178467779538
2019-04-29,115.03314787492802,56.59740783125148,114.82915894409274,115.50353894696339,68.90621926608456,96.93140479360429,215.4408185311574,100.1582736389504,157.45854497753044,82.39458137816284,138.3242132346946,253.24290023533194,132.82636125169756,78.7343411723027,110.96941432366236,83.6694238183141,73.67981670044523,88.63178467779538
2019-04-30,115.03314787492802,56.59740783125148,114.82915894409274,115.50353894696339,68.48750616541969,96.93140479360429,215.4408185311574,100.1582736389504,157.45854497753044,82.39458137816284,138.83962716384113,253.24290023533194,132.82636125169756,78.7343411723027,110.96941432366236,83.6694238183141,73.7752259807307,88.63178467779538
2019-05-01,115.03314787492802,56.59740783125148,114.82915894409274,115.50353894696339,68.72414998753595,96.93140479360429,215.4408185311574,100.1582736389504,157.45854497753044,82.39458137816284,138.62977770992532,253.24290023533194,132.82636125169756,78.7343411723027,110.96941432366236,83.6694238183141,73.94278814227033,88.63178467779538
2019-05-02,115.03314787492802,56.59740783125148,114.82915894409274,115.50353894696339,69.26853686260796,96.93140479360429,215.4408185311574,100.1582736389504,157.45854497753044,82.39458137816284,139.19620804145083,253.24290023533194,132.82636125169756,78.7343411723027,110.96941432366236,83.6694238183141,73.89483562077729,88.63178467779538
2019-05-03,115.03314787492802,56.59740783125148,114.82915894409274,115.50353894696339,68.78939738342811,96.93140479360429,215.4408185311574,100.1582736389504,157.45854497753044,82.39458137816284,138.82346234521688,253.24290023533194,132.82636125169756,78.87473616847367,110.96941432366236,83.6694238183141,73.6560029264632,88.63178467779538
2019-05-06,115.03314787492802,56.59740783125148,114.82915894409274,115.50353894696339,69.00465672217899,96.93140479360429,215.4408185311574,100.1582736389504,157.45854497753044,82.39458137816284,139.50564152136045,253.24290023533194,132.36518437789312,78.52746834632924,110.96941432366236,83.6694238183141,73.77522598073071,88.63178467779538
2019-05-07,115.03314787492802,56.59740783125148,114.82915894409274,115.50353894696339,69.36326954431284,96.93140479360429,215.4408185311574,100.1582736389504,157.45854497753044,82.39458137816284,139.88206453344296,253.24290023533194,131.9061568276854,78.53563935390913,110.96941432366236,83.6694238183141,73.89483562077729,88.63178467779538
2019-05-08,115.03314787492802,56.59740783125148,114.82915894409274,115.50353894696339,69.50585540742983,96.93140479360429,215.4408185311574,100.1582736389504,157.45854497753044,82.39458137816284,139.8000607437059,253.24290023533194,131.70418470559403,78.49637153423218,110.96941432366236,83.6694238183141,73.87088267568141,88.63178467779538
