,Spot_Incl_Signals
2014-09-24,119.2324320780578
2014-09-25,119.33828072702646
2014-09-26,119.36290375796783
2014-09-29,119.37830137716006
2014-09-30,119.39681775671065
2014-10-01,119.38219652092528
2014-10-02,119.37234279902032
2014-10-03,119.39622353291715
2014-10-06,119.36233274204872
2014-10-07,119.34487042552269
2014-10-08,119.37668668491698
2014-10-09,119.36747923350292
2014-10-10,119.27316664163082
2014-10-13,119.38226480379845
2014-10-14,119.34673804785766
2014-10-15,119.17840177127289
2014-10-16,119.13749846879381
2014-10-17,119.25707346597389
2014-10-20,119.30841312569945
2014-10-21,119.32887239823411
2014-10-22,119.33655837972273
2014-10-23,119.36197026547745
2014-10-24,119.38581989665032
2014-10-27,119.3801674704436
2014-10-28,119.5186657553995
2014-10-29,119.6490280467669
2014-10-30,119.56757648374955
2014-10-31,119.39981936816811
2014-11-03,119.15735999767878
2014-11-04,119.11566804557347
2014-11-05,119.02646466900042
2014-11-06,118.93432742910682
2014-11-07,118.87486807922899
2014-11-10,118.83573453209951
2014-11-11,118.83465076306503
2014-11-12,118.81753610348305
2014-11-13,118.83613096791886
2014-11-14,118.8531712393023
2014-11-17,118.85858903081973
2014-11-18,118.85919351478094
2014-11-19,118.88427027714003
2014-11-20,118.96259908787043
2014-11-21,118.91666870073458
2014-11-24,118.87359437449824
2014-11-25,118.79522685995104
2014-11-26,118.78669705532765
2014-11-27,118.51978379928845
2014-11-28,118.26122993091836
2014-12-01,118.35144107344875
2014-12-02,118.16165627896184
2014-12-03,118.16358103368357
2014-12-04,118.13111239550676
2014-12-05,118.13128383954725
2014-12-08,118.12274215567423
2014-12-09,118.1315315531209
2014-12-10,118.14160656519346
2014-12-11,118.1597933888642
2014-12-12,118.16181508056918
2014-12-15,118.16979111861068
2014-12-16,118.23423123055572
2014-12-17,118.25896383828098
2014-12-18,118.26515411067618
2014-12-19,118.29625360423637
2014-12-22,118.23570371308581
2014-12-23,118.2767526511072
2014-12-24,118.34070371770112
2014-12-25,118.43450221971916
2014-12-26,118.33334436537224
2014-12-29,117.69225160567946
