Country,Subject Descriptor,Subject Notes,Units,2015,2016,2017,2018,2019,2020,2021,2022
Slovak Republic,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.479,0.200,1.399,1.600,1.800,2.000,2.000,2.000
Slovenia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-0.449,0.511,1.447,2.014,2.000,2.000,2.000,2.000
Solomon Islands,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,3.522,-3.020,5.416,3.279,2.150,1.309,0.149,9.529
South Africa,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,5.281,6.724,5.900,5.500,5.500,5.500,5.500,5.500
South Sudan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,109.856,479.735,119.909,20.000,7.500,7.500,7.500,7.500
Spain,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.017,1.570,1.322,1.427,1.640,1.745,1.828,1.899
Sri Lanka,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.076,4.463,5.056,5.000,5.000,5.000,5.000,5.000
St. Kitts and Nevis,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.396,0.900,1.542,1.616,1.837,1.876,1.918,1.967
St. Lucia,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.606,0.595,0.651,1.141,1.523,1.464,1.486,1.523
St. Vincent and the Grenadines,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,-2.050,1.313,1.310,1.296,1.377,1.435,1.431,1.427
Sudan,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,12.582,30.474,17.000,15.000,14.000,14.000,14.000,14.000
Suriname,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,25.100,52.400,29.920,18.893,6.179,4.008,3.855,3.631
Swaziland,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,4.931,8.952,6.500,5.900,5.800,5.600,5.800,5.600
Sweden,"Inflation, end of period consumer prices", Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,0.741,1.731,1.500,1.700,1.900,2.000,2.000,2.000
