,PENUSDCR Curncy
2019-01-23,177.5072
2019-01-30,176.9391
2019-02-06,178.4943
2019-02-13,177.7144
2019-02-20,178.8561
2019-02-27,180.0929
2019-03-06,179.538
2019-03-13,180.2151
2019-03-20,180.4194
2019-03-27,179.1641
2019-04-03,180.4865
2019-04-10,180.6711
2019-04-17,180.5465
2019-04-24,179.1747
2019-05-01,180.2353
2019-05-08,179.7475
2019-05-15,179.8306
2019-05-22,178.6412
2019-05-29,177.9621
2019-06-05,178.775
2019-06-12,179.4464
2019-06-19,179.5026
2019-06-26,181.5236
2019-07-03,181.6819
2019-07-10,182.2132
2019-07-17,181.9935
2019-07-24,181.7135
2019-07-31,181.2442
2019-08-07,176.7818
2019-08-14,176.3635
2019-08-21,177.5537
2019-08-28,176.2783
2019-09-04,177.5354
2019-09-11,179.7142
2019-09-18,179.0858
2019-09-25,179.1377
2019-10-02,177.197
2019-10-09,178.3792
2019-10-16,178.7192
2019-10-23,179.6909
2019-10-30,179.7615
2019-11-06,179.8662
2019-11-13,177.6431
2019-11-20,177.7625
2019-11-27,177.8411
2019-12-04,177.9544
2019-12-11,177.5134
2019-12-18,180.4067
2019-12-25,181.6395
2020-01-01,181.9713
2020-01-08,181.9076
2020-01-15,181.4396
2020-01-22,182.0247
2020-01-29,180.3677
2020-02-05,179.4644
2020-02-12,178.6311
2020-02-19,178.5103
2020-02-26,177.0868
2020-03-04,176.7031
2020-03-11,171.7388
2020-03-18,169.0947
2020-03-25,171.6992
2020-04-01,174.5289
2020-04-08,179.7649
2020-04-15,177.6086
2020-04-22,179.4405
2020-04-29,179.8604
2020-05-06,177.3628
2020-05-13,176.1072
2020-05-20,178.1364
2020-05-27,175.6526
2020-06-03,178.133
2020-06-10,176.8891
2020-06-17,173.3563
2020-06-24,172.7687
2020-07-01,171.8725
2020-07-08,172.2382
2020-07-15,173.5488
2020-07-22,172.95
2020-07-29,173.4364
2020-08-05,171.2165
2020-08-12,170.1777
2020-08-19,170.3942
2020-08-26,170.0281
2020-09-02,171.7615
2020-09-09,171.6894
2020-09-16,172.1736
2020-09-23,170.0309
